,"Järvien lukumäärä","Pinta-ala yhteensä"
Kampinlampi,1,1 ha
Haarusjärvi,1,41 ha
Toarespeljavri,1,23 ha
Kittilänlampi,1,1 ha
Nivunkijärvi,1,144 ha
Hukijärvi,1,19 ha
"Iso Sikolampi",1,4 ha
Pitkä-Portti,1,7 ha
"Iso Kaitalampi",1,26 ha
Säärilampi,1,1 ha
Sampaanalanjärvi,1,4 ha
Pimeälammi,1,1 ha
Syvä-Hattu,1,2 ha
Ouluvesi,1,396 ha
Savijärvi,19,897 ha
Törvelöinen,1,2 ha
Paha-Kortteinen,1,1 ha
Ilveslampi,7,36 ha
Kallioisjärvi,1,5 ha
Labmeluobbal,1,3 ha
"Iso Kalatonlampi",1,4 ha
Suoralampi,1,4 ha
Huppalampi,1,10 ha
"Majlot sund",1,10 ha
Pilkkalampi,6,14 ha
Pitkänkummunlampi,1,4 ha
Betinlampi,2,4 ha
Iso-Kekko,1,34 ha
Iso-Hovatta,1,11 ha
"Pieni Latjärvi",1,5 ha
Kanavalampi,1,1 ha
Kivi-Kiekki,1,147 ha
Herranlampi,1,2 ha
Lohjanjärvi,1,8 822 ha
Laukkujärvi,5,416 ha
"Pieni Haapajärvi",3,55 ha
Sairasenlampi,1,4 ha
"Keävumus Palddokjavri",1,54 ha
"Iso Patalampi",1,3 ha
Höytiöjärvi,1,19 ha
Lukkolampi,1,25 ha
Hauki-Partanen,1,3 ha
Ponsijärvi,1,48 ha
"Pieni Luodelampi",1,3 ha
Sallinkijärvi,1,44 ha
Kukkurilampi,1,2 ha
Pölkkälampi,1,4 ha
"Keskimmäinen Polvijärvi",1,63 ha
Kuivalanlampi,1,1 ha
"Matala Vuontisjärvi",1,71 ha
Laklajärvi,1,71 ha
Pieni-Hautanen,1,13 ha
Nikinl,1,2 ha
Perhojärvi,1,29 ha
Pieni-Pehmeä,1,5 ha
Kaitsjön,1,55 ha
Kuivauslampi,3,10 ha
"Pikku Kuusilampi",2,6 ha
Kotanen,12,143 ha
Iso-Väisänen,1,10 ha
Talluslampi,1,5 ha
Löötinlampi,1,13 ha
Mourujärvi,1,319 ha
Vääräslampi,1,3 ha
Pikku-Ympyriäinen,1,1 ha
"Pieni Joutsenjärvi",1,1 ha
Lohijärvet,1,1 ha
"Pieni Vatjusjärvi",1,102 ha
Töyrilampi,1,3 ha
Lahnalompolo,1,15 ha
"Keskimmäinen Saarilampi",1,4 ha
Suokumaanjärvi,1,301 ha
Matkoslampi,1,1 ha
Täkkellampi,1,5 ha
Soila,1,8 ha
Misinlampi,1,21 ha
Viialanjärvi,1,1 ha
Ahvenusjärvi,8,73 ha
"Pikku Ulkujärvi",1,1 ha
Kakurträsket,1,2 ha
Niemisvesi,1,1 462 ha
Hyypiölampi,1,3 ha
Ylä-Likanen,1,20 ha
Kolmikaksoislampi,1,3 ha
Erlampi,1,2 ha
"Vuålåbus Haattsastamjävri",1,35 ha
Lihavanhauenjärvi,1,7 ha
Vuorisenlampi,1,3 ha
"Pikku Kaunislampi",1,2 ha
Pieni-Panka,1,74 ha
Atsinlampi,1,16 ha
Iso-Saares,1,32 ha
Sikaslampi,1,14 ha
Orninginlampi,1,10 ha
Karsikkolammit,1,3 ha
Iso-Ätämö,1,37 ha
Lievestuoreenjärvi,1,4 052 ha
Jolojärvi,1,3 ha
Avijärvi,2,21 ha
Soikkolampi,5,28 ha
Näkkilampi,1,2 ha
Törkylampi,1,2 ha
Ala-Miekkalampi,1,7 ha
Keljonlampi,1,3 ha
Pesiölampi,1,29 ha
Rytiuoma,1,8 ha
Ahostenjärvi,1,16 ha
Ulapanlampi,1,8 ha
Puula,1,33 076 ha
Nahturilampi,1,2 ha
Kalattomienlampi,1,1 ha
Lahnaslampi,2,11 ha
Venelahti,1,1 ha
Perholampi,1,1 ha
Molkolampi,1,10 ha
Komppalampi,1,13 ha
Pässijärvi,1,9 ha
Brännsjön,1,6 ha
"Paha Koiralampi",1,1 ha
Kuolukalajärvi,1,3 ha
Jouhilampi,3,10 ha
Kiiskinen,1,5 ha
Pieni-Ahvinen,1,1 ha
"Keskinen Salavajärvi",1,2 ha
Lempyynjärvi,1,7 ha
Kopanjärvi,1,5 ha
Sataus,1,1 ha
Patsananlampi,1,2 ha
Iso-Kaivos,1,14 ha
Ruhkalammi,1,16 ha
Pikku-Laakkonen,1,2 ha
Lauklampi,3,34 ha
Muotkajärvi,6,593 ha
Ylä-Koreikkolampi,1,3 ha
Maarianlampi,1,2 ha
Suuri-Kivistö,1,125 ha
"Iso Ahvenlampi",9,86 ha
Suuri-Petäjä,1,27 ha
Ylä-Pitkä,1,30 ha
Tomppilampi,1,2 ha
Kuorinki,2,136 ha
"Venäjän Naavalampi",3,11 ha
Ahven-Väärä,1,12 ha
Kaihunlahti,1,9 ha
Naittulompola,1,11 ha
Myllyhauta,1,5 ha
Ukonjärvi,8,440 ha
Raatteinen,1,24 ha
Louejärvi,1,142 ha
Omennus,1,7 ha
Jaakkolanjärvi,1,10 ha
Kekerilampi,2,5 ha
Morottijjee,1,37 ha
"Koveron Lastujärvi",1,85 ha
Syrjä-Somer,1,117 ha
Oksalampi,2,22 ha
"Lilla Lame",1,3 ha
Saari-Loukko,1,15 ha
Häkkärälampi,1,1 ha
Veshonlampi,1,3 ha
"Pikku Heinisuo",1,1 ha
Pahansäänlampi,1,10 ha
Puålvårjååuråds,1,8 ha
Riiaistenjärvi,1,45 ha
Vanhankylänlahti,1,12 ha
Sulkalampi,2,11 ha
Konotar,1,2 ha
Rehvonlampi,2,2 ha
Huikurinlampi,1,69 ha
Seiväslampi,1,19 ha
Kallisjärvi,1,22 ha
Sarvijärvi,14,417 ha
"Pikku Lautalampi",1,9 ha
Airaksenlampi,1,4 ha
Valkamanjärvi,1,5 ha
"Pikku Muojärvi",1,48 ha
Njoammeloailuobbalak,2,24 ha
Kuusiriipi,1,2 ha
Pikku-Kalaja,1,5 ha
"Iso Hirvijärvi",4,144 ha
Särkilampi,189,1 354 ha
Verlampi,1,2 ha
Pyöriäinen,4,57 ha
Tolkanluoma,1,1 ha
"Pieni Vuorinen",1,6 ha
Kourulampi,9,27 ha
Tönijärvi,1,41 ha
Kyörtisjärvi,1,20 ha
Paijulasjärvi,1,46 ha
"Iso Pekonlampi",1,13 ha
Kaskasjärvi,2,49 ha
Touhtajavri,1,16 ha
"Ahvenvaaran Häntälampi",1,4 ha
Naurisjärvi,1,8 ha
Niemelänjärvi,2,245 ha
"Iso Riuttalampi",1,1 ha
Uudentienlampi,1,2 ha
Kapujängänlampi,1,3 ha
Petruma,1,1 102 ha
Pännääjävri,1,8 ha
Poosjärvi,1,349 ha
Purajärvi,1,10 ha
Huovanlampi,1,1 ha
Kakonjärvi,2,97 ha
"Iso Laamanen",1,234 ha
"Vähä Kurkijärvi",1,1 ha
Vuorinen,13,510 ha
Karpulijärvi,1,133 ha
Vahlonen,1,4 ha
Tihmas,1,74 ha
Suolikas,1,29 ha
Haminalampi,2,3 ha
Ala-Naarvanjärvi,1,47 ha
Keski-Karanka,1,63 ha
Salmikko,1,4 ha
"Saaren Musta",1,7 ha
"Pieni Tomunen",1,2 ha
Junkkarinjärvi,2,149 ha
Vaimolampi,3,5 ha
"Iso Mustikainen",1,3 ha
Ruoppilampi,2,16 ha
Tasku,1,2 ha
Lukkianjärvi,1,1 ha
Puiroalampi,1,1 ha
Sokslammi,1,34 ha
"Alimmainen Kalliojärvi",1,11 ha
"Keskimmäinen Kinnunen",1,28 ha
"Kuolletis Havgajavri",1,26 ha
"Pieni Miikunlampi",1,1 ha
"Sydänmaan Ruoke",1,26 ha
"Vähä Heinäjärvi",2,11 ha
Konilammi,1,5 ha
Mjöträsk,1,2 ha
Pieni-Kontiainen,1,5 ha
Ladusvedsträsket,1,2 ha
"Pieni Häähninjärvi",1,2 ha
Soilu,2,236 ha
Paljakka,1,16 ha
"Ålkila träsk",1,5 ha
"Lilla Tregren",1,9 ha
Väärä-Vuorinen,1,2 ha
Salpauslampi,1,1 ha
Niinikkolampi,1,33 ha
"Vähä Korpilampi",1,3 ha
Loukasjärvi,1,11 ha
Kortelampi,105,584 ha
Löytlampi,1,1 ha
Brännsvikkärret,1,1 ha
Pieni-Miena,1,3 ha
Läpsöistenlampi,1,2 ha
Tesomajärvi,1,6 ha
Lamposenlampi,2,3 ha
Solmulompola,1,30 ha
Tikkalampi,3,8 ha
"Alimmainen Palajärvi",1,11 ha
Siirjärvi,1,2 ha
Käenlampi,1,43 ha
Issakkajärvi,2,67 ha
"Iso Venejärvi",3,342 ha
"Koskamuds Tsuuvajävri",1,9 ha
Sulalampi,1,4 ha
Torokkalampi,1,2 ha
Ylä-Varpanen,1,151 ha
Äkkiluomanlampi,1,2 ha
Vitkolampi,1,6 ha
Pilkanlampi,2,27 ha
"Iso Koijärvi",2,54 ha
Tääriskä,1,2 ha
Kiteenlampi,1,10 ha
"Iso Lampsinjärvi",1,42 ha
Vinkarinlampi,1,1 ha
Kolmaalanlampi,1,2 ha
Iso-Kumarainen,1,1 ha
Saarelanlampi,1,2 ha
Ravitunlampi,1,1 ha
Puolukkalampi,1,5 ha
Hepopudas,1,3 ha
Kerttujärvi,2,50 ha
Alaskaivetunjärvi,1,1 ha
Tohijärvi,1,5 ha
Jyrkynen,1,3 ha
Tertlampi,1,2 ha
Sirelampi,1,21 ha
"Iso Purtolampi",1,8 ha
Jouhtenuslampi,2,70 ha
Tiivejavri,1,16 ha
"Iso Tyrynlammi",1,8 ha
Laaja,1,29 ha
Syejniluobbal,1,8 ha
"Suuri Tyyrlampi",1,3 ha
Kangas-Lyly,1,4 ha
Urpolanlampi,1,14 ha
"Iso Härkölampi",2,4 ha
Sikojärvi,5,55 ha
Rämpsänlampi,1,8 ha
Heikkilänlampi,1,6 ha
Mukulampi,1,2 ha
Uppu-Pölläkkä,1,2 ha
Toramojärvi,2,82 ha
Oikarinlampi,1,4 ha
Ala-Rästinlampi,1,2 ha
Satolampi,2,36 ha
Peukalopuolijärvi,1,15 ha
Parikanlampi,2,18 ha
Paskavaaranlampi,1,4 ha
"Suuri Vehkajärvi",1,673 ha
Kataatlampi,1,2 ha
Tiekslammi,1,6 ha
"Alimmainen Porijärvi",1,77 ha
Vahojärvi,2,356 ha
Varsanlampi,1,2 ha
Palvalampi,5,54 ha
Metonlampi,2,5 ha
Paha-Särki,1,1 ha
"Vuolib Haltejavri",1,80 ha
Karlampi,2,12 ha
Rassinjärvi,1,9 ha
"Haanu Kuátisaijävri",1,13 ha
Pöykiölampi,1,2 ha
"Alimmainen Latvalampi",1,5 ha
Ruokolampi,23,214 ha
Kerinjärvi,1,7 ha
Sulkavanlampi,4,27 ha
Ruottamajärvi,1,4 ha
Siltaojanjärvi,1,8 ha
Kyröjärvi,2,366 ha
Storsvedsviken,1,22 ha
Överlillbrunn,1,2 ha
Siekajärvi,1,5 ha
Petrinlampi,3,6 ha
Lihavajärvi,1,24 ha
Lisko,1,80 ha
"Ylimmäinen Sankajärvi",1,116 ha
Jusseroislampi,1,10 ha
"Iso Petronlampi",1,3 ha
Kaksoislampi,1,1 ha
Isonkoivikonlampi,1,3 ha
Rekojärvi,1,41 ha
Lamminpohjanlammi,1,4 ha
Karttuulampi,1,22 ha
Iso-Vuotava,1,14 ha
Kiimanen,1,8 ha
Pieni-Lappi,1,4 ha
Kolmoislammi,3,15 ha
Pieni-Röyhkönen,1,2 ha
"Pieni Koilampi",1,2 ha
Kaivattilampi,1,2 ha
Harasjärvi,1,41 ha
Talvilammi,1,1 ha
Lamurilampi,1,20 ha
Mykrälampi,1,1 ha
"Ylimmäinen Tuomilampi",2,5 ha
"Helanderin Kotajärvi",1,10 ha
Soihmanen,1,8 ha
"Pieni Naarajärvi",1,19 ha
Iso-Kuukkanen,1,180 ha
Pieni-Montonen,1,28 ha
"Ylimmäinen Latvalampi",1,20 ha
Hevoskorvenlampi,1,1 ha
Luolajärvi,7,567 ha
Tuliraudanlahti,1,3 ha
Olkilampi,11,48 ha
Pitäjänrajalampi,1,3 ha
Bastsjö,1,46 ha
Raapunlampi,1,4 ha
Näsiänlampi,1,1 ha
Pohjankuru,1,4 ha
Julmajärvi,4,82 ha
Riippilänjärvi,1,70 ha
Saarianlampi,1,10 ha
Hottilampi,1,4 ha
Pieni-Oskamo,1,2 ha
"Pieni Lautlampi",1,3 ha
Ala-Luodelampi,1,4 ha
Sopikas,2,10 ha
"Alimmainen Paiselampi",1,6 ha
Kirveslammi,3,6 ha
Kolmosenlampi,1,2 ha
Litmonlampi,2,19 ha
"Yläinen Vehkajärvi",1,4 ha
Taka-Tuohijärvi,1,4 ha
"Iso Piilolampi",1,3 ha
Degelträsket,1,10 ha
Löyttylampi,1,4 ha
"Pikku Koirajärvi",3,5 ha
Kuumalampi,1,13 ha
Kinnaslampi,2,24 ha
Härmänlampi,1,6 ha
"Alimmainen Kokanlampi",1,11 ha
Tsehåjååuråds,1,3 ha
Persauslampi,2,6 ha
"Iso Aitjärvi",1,40 ha
Oivosluobbal,1,20 ha
Taka-Haukilammi,1,6 ha
Musta,3,62 ha
Harvalaineinen,2,9 ha
Kulholampi,1,2 ha
Pyyvesi,1,2 975 ha
Karpitsanjärvi,1,35 ha
Kapitvaaranlampi,1,3 ha
"Pieni Kaskilampi",1,4 ha
Halsionlampi,1,8 ha
Småholmsviken,1,1 ha
Mustanperänlampi,1,2 ha
"Iso Valkjärvi",4,326 ha
Lahdenpohja,1,112 ha
"Pikku Haukijärvi",1,5 ha
Kuuskoskenjärvi,1,36 ha
"Iso Pirttijärvi",4,54 ha
Nakkerinlampi,2,11 ha
Slickolammi,1,4 ha
Rasunjärvi,1,3 ha
Pukinlampi,2,9 ha
Lampsinlampi,1,2 ha
Kuikunlampi,1,3 ha
Malkinlampi,2,9 ha
Glosholmsträsket,1,3 ha
Ylä-Potkunjärvi,1,69 ha
Mutka-Salminen,1,2 ha
Tervakirnu,1,2 ha
Lietejärvi,3,87 ha
Vähä-Melkutin,1,15 ha
Hiirenvesi,1,1 298 ha
Ravajärvet,1,122 ha
Raja-Käyränen,1,12 ha
Koträsk,1,5 ha
Yli-Ansiojärvi,1,3 ha
Vehmaa,1,4 ha
Kuuhankavesi,1,1 837 ha
Ylä-Kaija,1,2 ha
Ristajärvi,1,26 ha
Vaavunjärvi,1,112 ha
Ala-Ahvenlampi,2,17 ha
Joenpäällysjärvi,1,5 ha
Saari-Kiekki,2,102 ha
"Uuden Kälän lampi",1,2 ha
Hanlampi,4,15 ha
Kotosaivo,1,15 ha
"Koulun Viemärilampi",1,2 ha
Korkkijärvi,1,1 ha
Kiiskihauta,1,5 ha
Åkantträsket,1,5 ha
Nulusjärvi,1,82 ha
Kajoonjärvi,1,552 ha
Juurusjärvi,1,77 ha
Pieni-Honkanen,1,4 ha
Näljänkäjärvi,1,331 ha
Salmeslammit,1,3 ha
Pistojärvi,1,386 ha
Vähä-Kotka,1,1 ha
"Pieni Haukijärvi",4,81 ha
Kuurijärvi,1,2 ha
Riislampi,1,3 ha
Takanen,5,161 ha
Toskaljärvi,1,100 ha
Näsmäjärvi,1,63 ha
Hirsijärvi,5,590 ha
Koukunlampi,1,7 ha
Ryökäsvesi,1,5 021 ha
Rämeenjärvi,1,96 ha
Suuri-Palonen,1,230 ha
Ruukkilampi,2,7 ha
Völönlampi,1,1 ha
Laadunjärvi,1,27 ha
"Iso Metsälampi",2,83 ha
Haastinlampi,1,4 ha
Grundträsk,1,4 ha
Munnijärvi,1,96 ha
Harrinjärvi,1,9 ha
Joutenlampi,71,368 ha
Alumalompola,1,62 ha
"Hentun Matin järvi",1,9 ha
Tielammi,2,7 ha
Yli-Kisosjärvi,1,93 ha
Teerinen,2,43 ha
Tönölänlampi,1,2 ha
Yli-Pirttilampi,1,3 ha
Somaslompolo,1,47 ha
Björnsjön,1,7 ha
Pystyvaarajärvi,1,36 ha
"Ylinen Särkilampi",1,3 ha
Montus,1,1 ha
Pahanojanlammi,1,2 ha
Pikku-Kopatti,1,57 ha
Luotijärvi,1,77 ha
Karhelammi,2,6 ha
"Iso Petäjäjärvi",2,63 ha
Jouhtenanlampi,1,7 ha
Suuri-Majoo,1,5 ha
"Vähä Mustijärvi",1,3 ha
Sarjanlampi,1,17 ha
Haukilampi,265,1 396 ha
Päähinen,2,58 ha
Pieni-Tihviäinen,1,35 ha
Valkeainen,17,360 ha
Alasimenlampi,1,9 ha
"Paasila Lillträsket",1,7 ha
Ansalampi,1,3 ha
Harjunpäänlampi,1,5 ha
Poikkele,1,7 ha
Pyterölampi,1,13 ha
Jouttenuslammi,1,5 ha
Makkaralampi,5,18 ha
Nimettömänlammi,1,1 ha
"Iso Sammakkolampi",1,4 ha
Torikko,1,252 ha
Kosimajärvi,1,8 ha
Taka-Vaimasjärvi,1,31 ha
Kiusanlampi,1,3 ha
Niemenjärvi,2,101 ha
Suvantolampi,1,1 ha
Köntinjärvi,1,15 ha
"Pieni Tyrynlammi",1,2 ha
Silbajavri,1,50 ha
Dalika,1,5 ha
Särki-Tiiri,1,9 ha
Grodträsk,1,1 ha
Latulampi,1,2 ha
Järvijängänjärvi,1,12 ha
"Iivin Laskulampi",1,2 ha
Koululampi,1,6 ha
Tihusjärvi,1,35 ha
Piston-Parviainen,1,29 ha
Huhmarlampi,3,23 ha
Kuolemajärvi,4,62 ha
Hyvikäs,1,89 ha
Ala-Säynäjä,1,59 ha
Pikku-Talas,1,28 ha
"Suuri Likolampi",1,27 ha
Värtinjärvi,1,13 ha
Maksimolampi,1,8 ha
Ylä-Virtanen,1,10 ha
Tiuttalinjärvi,1,6 ha
Lastensuonjärvi,1,2 ha
Soukolampi,1,3 ha
Sikkiönlampi,1,50 ha
Auvilanlampi,1,3 ha
"Krailan Pitkäjärvi",1,7 ha
"Pieni Otsalampi",1,7 ha
Hetelampi,8,22 ha
Kuvansi,1,1 603 ha
Ylä-Koppulilampi,1,3 ha
Huutjärvi,4,41 ha
Untilanlammi,1,12 ha
Haluksenlampi,2,7 ha
Lika-Putkonen,1,2 ha
Pyhävesi,1,1 573 ha
Raijajärvi,1,10 ha
Veijolanlampi,1,19 ha
Sompanen,2,154 ha
Nojoslampi,1,2 ha
Moalkeluobal,1,6 ha
Goahteláttu,1,3 ha
Parvanpäällinen,1,23 ha
Urtsanlampi,1,4 ha
Raiskiojärvi,1,2 ha
Valkeaislampi,3,25 ha
Ruotasenlampi,1,2 ha
Puustinlampi,1,4 ha
Peenalampi,1,2 ha
Ylä-Kurkilampi,1,3 ha
Runtujärvi,1,9 ha
Neittamojärvi,1,27 ha
Virvikkolampi,1,3 ha
Valkeaisenlampi,1,3 ha
Lintumaanjärvi,2,220 ha
Ylä-Viitajärvi,2,39 ha
Pieni-Koiteroinen,1,3 ha
Rummukkajärvi,1,71 ha
Järvi-Naskuttaja,1,14 ha
Pistos,1,24 ha
Salahminjärvi,1,520 ha
"Pieni Kuvajalampi",1,2 ha
Lötinlampi,2,4 ha
Moisiojärvi,1,4 ha
"Ison Heinisuonjärvi",1,12 ha
Ala-Hepolampi,1,1 ha
Salo-Mulli,1,2 ha
Koivuseljänlampi,1,8 ha
Huhaanjärvi,1,3 ha
"Pieni Rautjärvi",2,597 ha
Ykspetäjä,1,13 ha
Pärekummunlampi,1,1 ha
Tuohenlusikka,2,9 ha
"Iso Huuhanlampi",1,4 ha
Monikkolampi,1,16 ha
Törisevänlampi,7,23 ha
Kausanlampi,1,8 ha
Yli-Tupuri,1,1 ha
Kuhnonlampi,1,1 ha
Läpisyösti,1,34 ha
Sääskijärvi,4,274 ha
Huosioinen,1,2 ha
Ylä-Siili,1,83 ha
Luoteenjärvi,1,105 ha
Särsjön,1,30 ha
"Alimmainen Lapinlampi",2,9 ha
Seipinkrooppi,1,3 ha
Suppilampi,1,2 ha
Tepoonjärvi,1,154 ha
Räpsynlampi,1,15 ha
Ritolammi,2,9 ha
Jousjärvi,4,19 ha
Lassinojanlampi,1,3 ha
Anninlampi,2,4 ha
"Iso Kaukajärvi",1,15 ha
"Ylimmäinen Leväjärvi",1,3 ha
Nuijalampi,1,3 ha
Bergträsket,2,5 ha
Kiuaslammi,1,2 ha
Mäkinen,1,15 ha
Pikku-Pettu,1,1 ha
Vilmakonelonlampi,1,4 ha
Nellimöjärvi,1,141 ha
"Pieni Valkeisjärvi",1,1 ha
Röteenlampi,1,2 ha
Laholampi,1,5 ha
Puussasjärvi,2,128 ha
"Keskimmäinen Pahakalanen",1,2 ha
Pikku-Aska,1,32 ha
Luomasenjärvi,1,18 ha
Kalliomäenlampi,1,4 ha
Matkus,3,62 ha
"Iso Kulhalampi",1,6 ha
Haarajärvenlammikko,1,1 ha
"Iso Luotojärvi",2,48 ha
Jääskönlampi,1,10 ha
"Pieni Kortelampi",2,3 ha
Ravgajääyreh,1,12 ha
Tavilammi,1,8 ha
Kynäslampi,1,3 ha
Veljestenlammi,1,2 ha
Soppalampi,2,17 ha
Rahkajärvi,3,16 ha
Iso-Maso,1,1 ha
Sopajärvi,1,76 ha
Mällykäinen,1,2 ha
Hyvärisenlampi,1,14 ha
Kihliänjärvi,1,428 ha
Iso-Rokka,1,6 ha
Rovasenjärvi,3,10 ha
Ala-Pönttö,1,2 ha
Myllylähde,1,3 ha
"Syvä Rahelampi",1,16 ha
"Vähä Salmijärvi",2,18 ha
"Iso Vemmelvaaranlampi",1,7 ha
"Pikku Tielammi",1,2 ha
Ylä-Keyritty,1,366 ha
Kulinkarfladan,1,10 ha
"Ylimmäinen Joutenlampi",1,4 ha
Hautalammi,3,20 ha
Pohtionjärvi,1,10 ha
Lampelanjärvi,1,3 ha
Puhakanjärvi,1,92 ha
Ala-Rummakko,1,3 ha
Roggejavri,1,19 ha
"Vähä Kalliojärvi",4,19 ha
Puurolampi,7,27 ha
Härköjärvi,1,2 ha
Sapakkalampi,1,4 ha
"Iso Horilampi",1,7 ha
Ruutananlammi,1,2 ha
Vitträsk,3,532 ha
Raatelampi,36,306 ha
Pietarintupajärvi,1,11 ha
Turrasenlampi,1,3 ha
"Pieni Vesijärvi",1,154 ha
Mietunlampi,1,70 ha
Lapalionjärvi,1,124 ha
Kärkkäänjärvi,1,44 ha
Ylä-Kaurlampi,1,6 ha
Sosinlampi,1,3 ha
Huttusenlampi,1,4 ha
"Iso Niemolampi",1,20 ha
Saanajärvi,1,70 ha
Kuortanojärvi,1,81 ha
Skyttersträsket,1,3 ha
Maantielaakso,1,3 ha
Luokki-Vuorinen,1,2 ha
Kynsikoskenjärvi,1,9 ha
"Lavsböle träsk",1,30 ha
Retisenjärvi,1,15 ha
Hannulampi,1,14 ha
Änättijärvi,1,2 373 ha
Tahvanaisenlampi,1,26 ha
Iso-Matolampi,1,5 ha
"Petäjäskosken vl:n yläallas",1,1 920 ha
Öljylampi,1,1 ha
Tapanisenlampi,1,4 ha
"Pieni Kirveslampi",1,2 ha
Paha-Kurtti,1,3 ha
Tyyrnälampi,1,9 ha
Ylä-Salvanen,1,16 ha
Haavistonlammi,1,2 ha
Iililammi,1,2 ha
Piikkilampi,4,18 ha
"Suuri Kärsälampi",1,1 ha
Kanslampi,1,1 ha
Neva-Lyly,1,11 ha
Pieni-Kiemajärvi,1,8 ha
Pierfanajärvi,1,20 ha
Ympyrkäinenlampi,1,2 ha
"Iso Vehkolampi",1,10 ha
Parjalampi,1,22 ha
Akalauttalompola,1,7 ha
Pyöriä-Kalaton,1,4 ha
Kakarijärvi,1,93 ha
Kesä-Tainio,1,43 ha
Karsikko,1,10 ha
Suuri-Luotonen,1,0 ha
Myllylänlampi,3,11 ha
Tuomenlampi,1,3 ha
Hoikkapää,1,2 ha
Iso-Piilo,1,42 ha
Porkka,1,50 ha
Ala-Kantonen,1,103 ha
Alusvesi,1,588 ha
Siikjärvi,1,48 ha
"Hammarsboda träsk",1,96 ha
Pälkänevesi,1,4 633 ha
Kivanojanlampi,1,3 ha
Gåsgårdsträsket,1,7 ha
"Juottaan tekojärvi",1,736 ha
Kankilampi,3,6 ha
Lyypäkinlampi,1,41 ha
Saparonlampi,1,3 ha
Leväslammi,1,10 ha
Halimajärvi,1,9 ha
Sileänsuonlampi,1,1 ha
Pienivesi,3,931 ha
Puteri,1,38 ha
Jeägnajavri,1,5 ha
Kaggasjavri,1,37 ha
Ala-Kuorejärvi,1,13 ha
Mataroinen,2,352 ha
"Iso Vuorijärvi",6,79 ha
Kaljunlampi,1,4 ha
Naukkarlampi,1,15 ha
"Vähä Tynnyrijärvi",1,7 ha
Vilponlampi,1,9 ha
Miilu-Sikonen,1,2 ha
Nohkuanjärvi,1,15 ha
Sinettäjärvi,1,940 ha
Jaurujärvi,1,23 ha
Reppulaisenlampi,2,5 ha
Huoterlampi,1,1 ha
Pohjois-Vuorijärvi,1,58 ha
Kaivantolampi,2,4 ha
Pohijärvi,1,15 ha
Mustolanjärvi,1,8 ha
Ahmoolammi,1,28 ha
Itkulampi,1,3 ha
Simojärvi,1,8 993 ha
Patalehdonlampi,1,2 ha
Koskutjärvi,3,99 ha
Vatsajärvi,1,21 ha
Kaakkurilampi,91,231 ha
Yli-Katiskolampi,1,4 ha
Kertunlampi,1,3 ha
Kopparträsk,1,9 ha
Mullasjärvi,1,18 ha
Sarvilampi,36,241 ha
Soidinkankaanjärvi,1,4 ha
Vargholmsfjärden,1,5 ha
Skaideladdu,1,4 ha
Syvä-Kaija,1,8 ha
"Pieni Hammasjärvi",1,17 ha
Riketräsket,1,24 ha
Heinäslampi,1,12 ha
"Valkea Sorvalampi",1,10 ha
Rövassträsk,1,1 ha
Saukkolammi,4,10 ha
Multilampi,6,30 ha
Västersjö,1,11 ha
Pieni-Koikka,1,5 ha
Ylälampare,1,3 ha
Kiistalampi,1,5 ha
"Iso Maijanlampi",1,4 ha
Vedenpäänlampi,1,2 ha
Vudnejavri,1,74 ha
"Suuri Tetrilampi",1,3 ha
Mustalantto,3,6 ha
"Hoikka Vääränlampi",1,1 ha
Huosiolampi,3,39 ha
Pyhäselkä,1,36 110 ha
Järvenpää,1,5 ha
Saappajärvi,1,3 ha
Pitkäselkä,1,15 ha
Pieni-Kylmä,1,12 ha
Pirinlampi,1,2 ha
Ylimmäinen-Ölkky,1,37 ha
"Pieni Tyrynlampi",1,2 ha
Maaselänjärvi,1,100 ha
Ruosmanlampi,1,6 ha
Marttinen,1,7 ha
"Ylempi Suolampi",1,1 ha
Tappunen,1,3 ha
Kurppajärvi,1,1 ha
Vuontisjärvi,6,2 120 ha
Hermanninlampi,1,1 ha
Urmijärvi,1,7 ha
"Pikku Sunijärvi",1,3 ha
Mustavetisenlampi,1,3 ha
Pikku-Niskajärvi,1,3 ha
Kukkarlampi,2,7 ha
Ylä-Juurikka,1,4 ha
Iso-Hakojärvi,2,566 ha
Iso-Lauas,1,611 ha
Lautakodanjärvi,1,3 ha
Niitty-Haaponen,1,4 ha
Iso-Hoikka,5,48 ha
Sääksenpesäjärvi,1,3 ha
Huuhilonjärvi,1,83 ha
Halinanlammi,1,7 ha
Liimolampi,1,8 ha
"Alempi Paksupetäjäjärvi",1,4 ha
Venekoskenlampi,1,1 ha
Aumanalanen,1,2 ha
"Iso Luppolampi",1,8 ha
Poikkipuoleinen,2,14 ha
Paistjärvi,1,10 ha
Portimolampi,1,2 ha
Katumajärvi,3,397 ha
"Iso Väärälampi",2,14 ha
Mikkelilampi,1,2 ha
"Iso Suinajärvi",1,13 ha
Niitty-Pölläkkä,1,76 ha
Karslampi,1,2 ha
Kulujärvi,1,107 ha
Parlammi,1,96 ha
Olpperinlampi,1,15 ha
Jatkonlampi,2,3 ha
"Pieni Laihanlampi",1,6 ha
"Alimmainen Verkkojärvi",1,14 ha
"Pieni Raanilampi",1,2 ha
Alijärvi,2,119 ha
Pieni-Vissanen,1,5 ha
"Pieni Jänislampi",1,5 ha
